Image,Transcription,Length
002_080_001_03_01,"6 . The evidence of the engagement , consigned to a portable",60
002_080_001_03_02,"instrument , instead of a fixed Book .  _  Taken from Exche-",60
002_080_001_03_03,"quer Bills , _  Differs from Stock Annuities  _  Agrees with",60
002_080_001_03_04,"Irish Debentures , and the now disused Navy Victu-",50
002_080_001_03_05,alling Transport and Ordnance Bills or Debentures :   _,55
002_080_001_03_06,"also with India Bonds , Bank Notes , Banker ' s Promissory",58
002_080_001_03_07,Notes ; and private Promissory Notes and Bills of Exchange .,60
002_080_001_03_08,"7 . The Paper , by its size , shape , texture , are thinness , par-",67
002_080_001_03_09,ticularly fitted for circulation  _  Taken from Bank Paper .,60
002_080_001_03_10,Agrees more or less with Bankers Paper and with,47
002_080_001_03_11,the French Assignats . Differs from all the other above,55
002_080_001_03_12,mentioned Engagements :   _ - Eexcept from some late issues,59
002_080_001_03_13,"of Exchequer Bills , in respect of size .  _",44
002_080_001_03_14,8 . Application of the profit of the measure towards the,56
002_080_001_03_15,reduction of the National Debt .  _  Taken from the Sale,56
002_080_001_03_16,of the Land Tax i : e :  the exchange of so many portions,57
002_080_001_03_17,of the annual produce of that Tax for the portions of,53
002_080_001_03_18,Stock Annuities . Differs from all the other engagements,56
002_112_001_03_01,[ 13 ]  [ Me ... . issuing Clerk ]  For the purpose of responsibility,69
002_112_001_03_02,in the accounts kept of the disposal of these valuable instruments,66
002_112_001_03_04,that each individual may be responsible for his own acts and,60
002_112_001_03_05,for none but his own it will be material that no name be,56
002_112_001_03_06,ever signed by any other person than he who name it is that is,62
002_112_001_03_08,thus signed and that accordingly that if the person to whose,60
002_112_001_03_09,Office it belongs to make these signatures is prevented at any time,67
002_112_001_03_10,by sickness or other cause from officiating in the exercise of his,66
002_112_001_03_11,duty and a Deputy or other substitute as will then be necessary,63
002_112_001_03_12,officiates in his room the name of such Deputy is the name,58
002_112_001_03_13,that ought always to be signed upon the face of the note it is,62
002_112_001_03_14,on this account that the appellation of issuing Clerk is fixed,62
002_112_001_03_15,upon for the official name the name as thus expressed is appli-,63
002_112_001_03_16,cable with equal propriety either to the Principal or to His Substitute,71
002_112_001_03_17,"Fac-similes which are themselves counterfeits , being",53
002_112_001_03_18,"so much easier to counterfeit than handwriting , the",52
002_112_001_03_20,Principal Office must of course furnish at least,48
002_112_001_03_21,one written signature .,23
002_121_001_02_01,[ 16 ]   [ Local Annuity Note Office in ... . ]  The mode of exhibiting,71
002_121_001_02_02,the designation of the place is in different instances so different,67
002_121_001_02_03,and the number and length of the words in some instances so,59
002_121_001_02_05,considerable that less than the two full lines here reserved could,66
002_121_001_02_06,not have been allotted for the purpose . In the most common,59
002_121_001_02_07,"case the upper line of the two will serve for the Town , the other",66
002_121_001_02_09,[ 17 ]   [ One thousand eight hundred and one ... . ]  As a check and security,78
002_121_001_02_10,against accidental error as well as against criminal falsification,66
002_121_001_02_11,it seems material that in one part at least of the Note the Date,64
002_121_001_02_12,should be given in words at length in the form of the entry made,64
002_121_001_02_13,at the principal Office room for this purpose could not well be spared,70
002_121_001_02_14,in the place here in question the quantity of room is less fully  <gap/>,72
002_121_001_02_15,occupied the same observation is applicable to the designation of the,69
002_121_001_02_16,day and of the month which cannot but be left in blank for in,61
002_121_001_02_17,these cases it may not be of altogether equal importance,56
002_541_001_02_01,Ch . III . Grounds of Expectation with regard to the circulation etc of the,75
002_541_001_02_03,To enable this Paper to answer the expectations that have been,62
002_541_001_02_05,been formed of it six distinguishable results must take place :   _,67
002_541_001_02_06,1 . It must meet with purchasers to take it out in the way of issue .  _,72
002_541_001_02_07,2 . And that at the price proposed to be put upon it .,54
002_541_001_02_08,3 . It must be received in circulation  _,41
002_541_001_02_09,4 . _  And at that price  _,27
002_541_001_02_10,5 . _  And with an addition proportioned each day to the amount of Interest,75
002_541_001_02_12,6 . It must be depretiation proof :   _  being current on the above footing,75
002_541_001_02_13,and without discount not only at its birth but through every stage,66
002_541_001_02_15,7 . Its currency must be universal :   _  not confined to this or that,70
002_541_001_02_16,description of persons but extending to all descriptions .  _,61
002_541_001_02_17,Of its pretensions to the above attributes some judgment may,60
002_541_001_02_18,already have been formed from the preceding they will now,57
002_541_001_02_19,be subjected to a closer scrutiny .  _,38
002_579_001_02_02,(a)The distinction is material: for as fixed income comes,57
002_579_001_02_03,in in masses at the beginning of a period and professional &c,61
002_579_001_02_04,income in driblets day by day during the course of the same,59
002_579_001_02_05,period it will be found in calculation that on equal annual,59
002_579_001_02_06,amounts there will be twice as much to dispose of in any such,61
002_579_001_02_07,way as that in question in the former case as in the latter.,60
027_029_001_01_01,Happ : ss and Unhapp.ss Value of a Pain or Pleasure  ( 1,56
027_029_001_02_02,"1 . Of whatever nature a Pleasure be ; a pleasure of the Body , or a Plea-",74
027_029_001_02_03,"sure of the Mind ; a pleasure of enjoyment , a pleasure of possession ,",71
027_029_001_02_04,or a pleasure of Expectation ; a pleasure of the concupiscible appetites or,75
027_029_001_02_05,a pleasure of the irascible ; what we shall have to say of any pleasure,71
027_029_001_02_06,in the present chapter will be found equally to belong to all :  and so,71
027_029_001_02_10,A pleasure may be more or less intense :  hence we come to speak of its in-,75
027_029_001_02_12,"-tensity :  when its intensity is at a high degree , we may  ( preserving the same",82
027_029_001_02_14,expression )  that it is intenser when at a low degree we call it faint  .,74
027_029_001_02_16,"The time it lasts , is either long or short ; hence we have to speak of its  _",78
027_029_001_02_19,This is the case with every thing that is called Pleasure :  to exist it  _,75
027_029_001_02_20,must possess two qualities :  it must possess intensity ; it must possess Dura,78
027_029_001_02_21,-tion . They constantly belong to it ; they are essential to it :  it cannot be con-,84
027_029_001_02_22,ceived without them .,21
027_029_001_02_24,"Body , to exist , must in like manner possess three things :  length ,  _",73
027_029_001_02_25,breadth and thickness . They constantly belong to it :  it cannot be con-,73
027_029_001_02_26,ceived without them . Of them it is said in a certain sense to be compos ' d,76
027_029_001_02_27,Under them it is said to be comprised :  By them it is measured . Mathe,71
027_029_001_02_28,"maticians call them it ' s dimensions . Dimensions ""  comes from  "" Di-",71
027_029_001_02_29,"mitior ""  .  "" dimitior ""  is  "" to measure ""  .",48
027_029_001_02_32,Of Mathematicians let us borrow the appellation :  and let us saying ;,70
027_029_001_02_33,Pleasure is comprised under two dimensions . Intensity and Dura,63
027_029_001_03_01,Happ : ss and Unhapp.ss their Dimensions . Value of a Pain or Pleasure .,72
035_320_001_02_02,is that of the recapitulatory examination,41
035_320_001_02_03,otherwise called Quasi Trial .,30
035_320_001_02_04,Art . 4 . The original examination performed,44
035_320_001_02_05,by the Judge alone :  the recapitulatory is per-,48
035_320_001_02_06,formed by the reconsideration of all evidence,45
035_320_001_02_07,delivered in the course of the original exami-,46
035_320_001_02_08,nation :  together with the consideration of any,48
035_320_001_02_09,such argumentation as is on this occasion made :,48
035_320_001_02_10,"the sources of evidence , if more than one , are",48
035_320_001_02_11,now confronted and compared .,29
035_320_001_02_12,"Art . 5 . The recapitulatory examination , the",46
035_320_001_02_13,Judge for his own satisfaction or that of the par-,50
035_320_001_02_14,"-ties , has power to perform",28
035_320_001_02_15,:  at the requisition of a party on either,42
035_320_001_02_16,"side , he is bound to perform it .",34
035_320_001_02_17,"Art . 6 . When it is of his own motion , no de-",47
035_320_001_02_18,finitive decree is pronounced :  when it is in com-,51
