Image,Segmentation,Transcription,Threshold
a01-000u-00,ok,A MOVE to stop Mr. Gaitskell from,154
a01-000u-01,ok,nominating any more Labour life Peers,156
a01-000u-02,ok,is to be made at a meeting of Labour,157
a01-000u-03,err,M Ps tomorrow. Mr. Michael Foot has,156
a01-000u-04,ok,put down a resolution on the subject,157
a01-000u-05,err,and he is to be backed by Mr. Will,156
a01-000u-06,ok,"Griffiths, M P for Manchester Exchange.",159
a01-000x-00,ok,A MOVE to stop Mr. Gaitskell from nominating,182
a01-000x-01,ok,any more Labour life Peers is to be made at a,181
a01-000x-02,ok,meeting of Labour 0M Ps tomorrow. Mr. Michael,181
a01-000x-03,ok,Foot has put down a resolution on the subject,179
a01-000x-04,ok,"and he is to be backed by Mr. Will Griffiths,",173
a01-000x-05,ok,0M P for Manchester Exchange.,173
a01-003-00,ok,"Though they may gather some Left-wing support, a",176
a01-003-01,ok,large majority of Labour M Ps are likely to,176
a01-003-02,ok,turn down the Foot-Griffiths resolution. Mr.,176
a01-003-03,ok,Foot's line will be that as Labour M Ps,176
a01-003-04,ok,opposed the Government Bill which brought,161
a01-003-05,ok,"life peers into existence, they should not",176
a01-003-06,ok,now put forward nominees. He believes,176
a01-003-07,ok,that the House of Lords should be abolished,161
a01-003-08,ok,and that Labour should not take any steps,161
a01-003-09,err,"which would appear to ""prop up"" an out-dated",161
a01-003-10,ok,institution.,161
a01-003u-00,ok,Though they may gather some Left-wing,159
a01-003u-01,ok,"support, a large majority of Labour",161
a01-003u-02,ok,M Ps are likely to turn down the Foot-,161
a01-003u-03,err,Griffiths resolution. Mr. Foot's line will,162
a01-003u-04,ok,be that as Labour M Ps opposed the,161
a01-003u-05,ok,Government Bill which brought life peers,163
a01-003u-06,ok,"into existence, they should not now put",163
a01-003u-07,ok,forward nominees. He believes that the,165
a01-003u-08,ok,House of Lords should be abolished and,164
a01-003u-09,ok,that Labour should not take any steps,165
a01-003u-10,ok,"which would appear to ""prop up"" an out-",165
a01-003x-00,err,"Though they may gather some Left-wing support, a",177
a01-003x-01,ok,large majority of Labour 0M Ps are likely to turn,176
a01-003x-02,err,down the Foot-Griffiths resolution. Mr. Foot's line,177
a01-003x-03,err,will be that as Labour 0M Ps opposed the Govern-,169
a01-003x-04,ok,"ment Bill which brought life peers into existence, they",169
a01-003x-05,ok,should not now put forward nominees. He believes,176
a01-003x-06,ok,that the House of Lords should be abolished and,176
a01-003x-07,ok,that Labour should not take any steps which would,168
a01-003x-08,ok,"appear to ""prop up"" an out-dated institution.",168
a01-007-00,ok,"Since 1958, 13 Labour life Peers and",203
a01-007-01,ok,Peeresses have been created. Most Labour,203
a01-007-02,ok,sentiment would # still favour the abolition,203
a01-007-03,ok,"of the House of Lords, but while it remains",203
a01-007-04,ok,Labour has to have an adequate number of,203
a01-007-05,ok,members. THE two rival African Nationalist,203
a01-007-06,ok,Parties of Northern Rhodesia have agreed to,203
a01-007-07,ok,get together to face the challenge from Sir,203
a01-007-08,ok,"Roy Welensky, the Federal Premier.",203
a01-007u-00,ok,"Since 1958, 13 Labour life Peers and",165
a01-007u-01,ok,Peeresses have been created. Most Labour,166
a01-007u-02,ok,sentiment would still favour the abolition,167
a01-007u-03,ok,"of the House of Lords, but while it remains",168
a01-007u-04,ok,Labour has to have an adequate number,166
a01-007u-05,ok,of members. THE two rival African,166
a01-007u-06,ok,Nationalist Parties of Northern Rhodesia,166
a01-007u-07,ok,have agreed to get together to face,168
a01-007u-08,ok,"the challenge from Sir Roy Welensky,",167
a01-007u-09,ok,the Federal Premier.,169
a01-007x-00,ok,"Since 1958, 13 Labour life Peers and #",174
a01-007x-01,ok,Peeresses have been created. Most Labour sentiment,175
a01-007x-02,ok,would still favour the abolition of the House,178
a01-007x-03,ok,"of Lords, but while it remains Labour has to",171
a01-007x-04,ok,have an adequate number of members. THE,166
a01-007x-05,ok,two rival African Nationalist Parties of Northern,174
a01-007x-06,ok,Rhodesia have agreed to get together to face the,178
a01-007x-07,ok,"challenge from Sir Roy Welensky, the Federal Premier.",174
a01-011-00,ok,Delegates from Mr. Kenneth Kaunda's United National Independence,182
a01-011-01,err,"Party (280,000 members) and Mr. Harry Nkumbula's African",182
a01-011-02,ok,"National Congress (400,000) will meet in London today",182
a01-011-03,ok,to discuss a common course of action. Sir Roy is,182
a01-011-04,ok,violently opposed to Africans getting an elected majority,182
a01-011-05,ok,"in Northern Rhodesia, but the Colonial Secretary,",182
a01-011-06,ok,"Mr. Iain Macleod, is insisting on a policy of change.",182
a01-011u-00,ok,Delegates from Mr. Kenneth Kaunda's,166
a01-011u-01,ok,United National Independence Party,168
a01-011u-02,ok,"(280,000 members) and Mr. Harry Nkumbula's",168
a01-011u-03,ok,"African National Congress (400,000) will",168
a01-011u-04,ok,meet in London today to discuss a common,166
a01-011u-05,ok,course of action. Sir Roy is violently,167
a01-011u-06,ok,opposed to Africans getting an elected,167
a01-011u-07,ok,"majority in Northern Rhodesia, but the",168
a01-011u-08,ok,"Colonial Secretary, Mr. Iain Macleod,",166
a01-011u-09,ok,is insisting on a policy of change.,167
a01-011x-00,err,Delegates from Mr. Kenneth Kaunda's United,168
a01-011x-01,err,"National Independence Party (280,000 members)",168
a01-011x-02,err,and Mr. Harry Nkumbula's African National,165
a01-011x-03,err,"Congress (400,000) will meet in London today",168
a01-011x-04,err,to discuss a common course of action.,168
a01-011x-05,err,Sir Roy is violently opposed to Africans,170
a01-011x-06,err,getting an elected majority in Northern,165
a01-011x-07,err,"Rhodesia, but the Colonial Secretary, Mr. Iain",163
a01-011x-08,ok,"Macleod, is insisting on a policy of change.",161
a01-014-00,ok,Sir Roy's United Federal Party is boycotting,182
a01-014-01,ok,the London talks on the Protectorate's,182
a01-014-02,ok,future. Said Mr. Nkumbula last night:,182
a01-014-03,ok,"""We want to discuss what to do if the",182
a01-014-04,ok,British Government gives in to Sir Roy and,182
a01-014-05,ok,the talks fall through. There are bound,182
a01-014-06,err,"to be demonstrations."" Yesterday Sir Roy's",182
a01-014-07,ok,"chief aide, Mr. Julius Greenfield, telephoned",182
a01-014-08,ok,his chief a report on his talks with,182
a01-014-09,ok,Mr. Macmillan at Chequers.,182
a01-014u-00,ok,Sir Roy's United Federal Party is,166
