Image,Transcription,Length
002_080_001_03_01.png,"6 . The evidence of the engagement , consigned to a portable",60
002_080_001_03_02.png,"instrument , instead of a fixed Book .  _  Taken from Exche-",60
002_080_001_03_03.png,"quer Bills , _  Differs from Stock Annuities  _  Agrees with",60
002_080_001_03_04.png,"Irish Debentures , and the now disused Navy Victu-",50
002_080_001_03_05.png,alling Transport and Ordnance Bills or Debentures :   _,55
002_080_001_03_06.png,"also with India Bonds , Bank Notes , Banker ' s Promissory",58
002_080_001_03_07.png,Notes ; and private Promissory Notes and Bills of Exchange .,60
002_080_001_03_08.png,"7 . The Paper , by its size , shape , texture , are thinness , par-",67
002_080_001_03_09.png,ticularly fitted for circulation  _  Taken from Bank Paper .,60
002_080_001_03_10.png,Agrees more or less with Bankers Paper and with,47
002_080_001_03_11.png,the French Assignats . Differs from all the other above,55
002_080_001_03_12.png,mentioned Engagements :   _ - Eexcept from some late issues,59
002_080_001_03_13.png,"of Exchequer Bills , in respect of size .  _",44
002_080_001_03_14.png,8 . Application of the profit of the measure towards the,56
002_080_001_03_15.png,reduction of the National Debt .  _  Taken from the Sale,56
002_080_001_03_16.png,of the Land Tax i : e :  the exchange of so many portions,57
002_080_001_03_17.png,of the annual produce of that Tax for the portions of,53
002_080_001_03_18.png,Stock Annuities . Differs from all the other engagements,56
002_112_001_03_01.png,[ 13 ]  [ Me ... . issuing Clerk ]  For the purpose of responsibility,69
002_112_001_03_02.png,in the accounts kept of the disposal of these valuable instruments,66
002_112_001_03_04.png,that each individual may be responsible for his own acts and,60
002_112_001_03_05.png,for none but his own it will be material that no name be,56
002_112_001_03_06.png,ever signed by any other person than he who name it is that is,62
002_112_001_03_08.png,thus signed and that accordingly that if the person to whose,60
002_112_001_03_09.png,Office it belongs to make these signatures is prevented at any time,67
002_112_001_03_10.png,by sickness or other cause from officiating in the exercise of his,66
002_112_001_03_11.png,duty and a Deputy or other substitute as will then be necessary,63
002_112_001_03_12.png,officiates in his room the name of such Deputy is the name,58
002_112_001_03_13.png,that ought always to be signed upon the face of the note it is,62
002_112_001_03_14.png,on this account that the appellation of issuing Clerk is fixed,62
002_112_001_03_15.png,upon for the official name the name as thus expressed is appli-,63
002_112_001_03_16.png,cable with equal propriety either to the Principal or to His Substitute,71
002_112_001_03_17.png,"Fac-similes which are themselves counterfeits , being",53
002_112_001_03_18.png,"so much easier to counterfeit than handwriting , the",52
002_112_001_03_20.png,Principal Office must of course furnish at least,48
002_112_001_03_21.png,one written signature .,23
002_121_001_02_01.png,[ 16 ]   [ Local Annuity Note Office in ... . ]  The mode of exhibiting,71
