Image,Segmentation,Transcription,Threshold
a01-000u-00.png,ok,A MOVE to stop Mr. Gaitskell from,154
a01-000u-01.png,ok,nominating any more Labour life Peers,156
a01-000u-02.png,ok,is to be made at a meeting of Labour,157
a01-000u-03.png,err,M Ps tomorrow. Mr. Michael Foot has,156
a01-000u-04.png,ok,put down a resolution on the subject,157
a01-000u-05.png,err,and he is to be backed by Mr. Will,156
a01-000u-06.png,ok,"Griffiths, M P for Manchester Exchange.",159
a01-000x-00.png,ok,A MOVE to stop Mr. Gaitskell from nominating,182
a01-000x-01.png,ok,any more Labour life Peers is to be made at a,181
a01-000x-02.png,ok,meeting of Labour 0M Ps tomorrow. Mr. Michael,181
a01-000x-03.png,ok,Foot has put down a resolution on the subject,179
a01-000x-04.png,ok,"and he is to be backed by Mr. Will Griffiths,",173
a01-000x-05.png,ok,0M P for Manchester Exchange.,173
a01-003-00.png,ok,"Though they may gather some Left-wing support, a",176
a01-003-01.png,ok,large majority of Labour M Ps are likely to,176
a01-003-02.png,ok,turn down the Foot-Griffiths resolution. Mr.,176
a01-003-03.png,ok,Foot's line will be that as Labour M Ps,176
a01-003-04.png,ok,opposed the Government Bill which brought,161
a01-003-05.png,ok,"life peers into existence, they should not",176
a01-003-06.png,ok,now put forward nominees. He believes,176
a01-003-07.png,ok,that the House of Lords should be abolished,161
a01-003-08.png,ok,and that Labour should not take any steps,161
a01-003-09.png,err,"which would appear to ""prop up"" an out-dated",161
a01-003-10.png,ok,institution.,161
a01-003u-00.png,ok,Though they may gather some Left-wing,159
a01-003u-01.png,ok,"support, a large majority of Labour",161
a01-003u-02.png,ok,M Ps are likely to turn down the Foot-,161
a01-003u-03.png,err,Griffiths resolution. Mr. Foot's line will,162
a01-003u-04.png,ok,be that as Labour M Ps opposed the,161
a01-003u-05.png,ok,Government Bill which brought life peers,163
a01-003u-06.png,ok,"into existence, they should not now put",163
a01-003u-07.png,ok,forward nominees. He believes that the,165
a01-003u-08.png,ok,House of Lords should be abolished and,164
a01-003u-09.png,ok,that Labour should not take any steps,165
a01-003u-10.png,ok,"which would appear to ""prop up"" an out-",165
a01-003x-00.png,err,"Though they may gather some Left-wing support, a",177
a01-003x-01.png,ok,large majority of Labour 0M Ps are likely to turn,176
a01-003x-02.png,err,down the Foot-Griffiths resolution. Mr. Foot's line,177
a01-003x-03.png,err,will be that as Labour 0M Ps opposed the Govern-,169
a01-003x-04.png,ok,"ment Bill which brought life peers into existence, they",169
a01-003x-05.png,ok,should not now put forward nominees. He believes,176
a01-003x-06.png,ok,that the House of Lords should be abolished and,176
a01-003x-07.png,ok,that Labour should not take any steps which would,168
a01-003x-08.png,ok,"appear to ""prop up"" an out-dated institution.",168
a01-007-00.png,ok,"Since 1958, 13 Labour life Peers and",203
a01-007-01.png,ok,Peeresses have been created. Most Labour,203
a01-007-02.png,ok,sentiment would # still favour the abolition,203
a01-007-03.png,ok,"of the House of Lords, but while it remains",203
a01-007-04.png,ok,Labour has to have an adequate number of,203
a01-007-05.png,ok,members. THE two rival African Nationalist,203
a01-007-06.png,ok,Parties of Northern Rhodesia have agreed to,203
a01-007-07.png,ok,get together to face the challenge from Sir,203
a01-007-08.png,ok,"Roy Welensky, the Federal Premier.",203
a01-007u-00.png,ok,"Since 1958, 13 Labour life Peers and",165
a01-007u-01.png,ok,Peeresses have been created. Most Labour,166
a01-007u-02.png,ok,sentiment would still favour the abolition,167
a01-007u-03.png,ok,"of the House of Lords, but while it remains",168
a01-007u-04.png,ok,Labour has to have an adequate number,166
a01-007u-05.png,ok,of members. THE two rival African,166
a01-007u-06.png,ok,Nationalist Parties of Northern Rhodesia,166
a01-007u-07.png,ok,have agreed to get together to face,168
a01-007u-08.png,ok,"the challenge from Sir Roy Welensky,",167
a01-007u-09.png,ok,the Federal Premier.,169
a01-007x-00.png,ok,"Since 1958, 13 Labour life Peers and #",174
a01-007x-01.png,ok,Peeresses have been created. Most Labour sentiment,175
a01-007x-02.png,ok,would still favour the abolition of the House,178
a01-007x-03.png,ok,"of Lords, but while it remains Labour has to",171
a01-007x-04.png,ok,have an adequate number of members. THE,166
a01-007x-05.png,ok,two rival African Nationalist Parties of Northern,174
a01-007x-06.png,ok,Rhodesia have agreed to get together to face the,178
a01-007x-07.png,ok,"challenge from Sir Roy Welensky, the Federal Premier.",174
a01-011-00.png,ok,Delegates from Mr. Kenneth Kaunda's United National Independence,182
a01-011-01.png,err,"Party (280,000 members) and Mr. Harry Nkumbula's African",182
a01-011-02.png,ok,"National Congress (400,000) will meet in London today",182
a01-011-03.png,ok,to discuss a common course of action. Sir Roy is,182
a01-011-04.png,ok,violently opposed to Africans getting an elected majority,182
a01-011-05.png,ok,"in Northern Rhodesia, but the Colonial Secretary,",182
a01-011-06.png,ok,"Mr. Iain Macleod, is insisting on a policy of change.",182
a01-011u-00.png,ok,Delegates from Mr. Kenneth Kaunda's,166
a01-011u-01.png,ok,United National Independence Party,168
a01-011u-02.png,ok,"(280,000 members) and Mr. Harry Nkumbula's",168
a01-011u-03.png,ok,"African National Congress (400,000) will",168
a01-011u-04.png,ok,meet in London today to discuss a common,166
a01-011u-05.png,ok,course of action. Sir Roy is violently,167
a01-011u-06.png,ok,opposed to Africans getting an elected,167
a01-011u-07.png,ok,"majority in Northern Rhodesia, but the",168
a01-011u-08.png,ok,"Colonial Secretary, Mr. Iain Macleod,",166
a01-011u-09.png,ok,is insisting on a policy of change.,167
a01-011x-00.png,err,Delegates from Mr. Kenneth Kaunda's United,168
a01-011x-01.png,err,"National Independence Party (280,000 members)",168
a01-011x-02.png,err,and Mr. Harry Nkumbula's African National,165
a01-011x-03.png,err,"Congress (400,000) will meet in London today",168
a01-011x-04.png,err,to discuss a common course of action.,168
a01-011x-05.png,err,Sir Roy is violently opposed to Africans,170
a01-011x-06.png,err,getting an elected majority in Northern,165
a01-011x-07.png,err,"Rhodesia, but the Colonial Secretary, Mr. Iain",163
a01-011x-08.png,ok,"Macleod, is insisting on a policy of change.",161
a01-014-00.png,ok,Sir Roy's United Federal Party is boycotting,182
a01-014-01.png,ok,the London talks on the Protectorate's,182
a01-014-02.png,ok,future. Said Mr. Nkumbula last night:,182
a01-014-03.png,ok,"""We want to discuss what to do if the",182
a01-014-04.png,ok,British Government gives in to Sir Roy and,182
a01-014-05.png,ok,the talks fall through. There are bound,182
a01-014-06.png,err,"to be demonstrations."" Yesterday Sir Roy's",182
a01-014-07.png,ok,"chief aide, Mr. Julius Greenfield, telephoned",182
a01-014-08.png,ok,his chief a report on his talks with,182
a01-014-09.png,ok,Mr. Macmillan at Chequers.,182
a01-014u-00.png,ok,Sir Roy's United Federal Party is,166
a01-014u-01.png,ok,boycotting the London talks on the,169
a01-014u-02.png,err,Protectorate's future. Said Mr. Nkumbula,167
a01-014u-03.png,ok,"last night: ""We want to discuss what to",169
a01-014u-04.png,ok,"do if the British demonstrations.""",166
a01-014u-05.png,ok,"Yesterday Sir Roy's chief aide, Mr.",168
a01-014u-06.png,ok,"Julius Greenfield, telephoned his chief",169
a01-014u-07.png,ok,a report on his talks with Mr. Macmillan,169
a01-014u-08.png,ok,at Chequers.,165
a01-014x-00.png,ok,Sir Roy's United Federal Party is boycotting,197
a01-014x-01.png,ok,the London talks on the Protectorate's,193
a01-014x-02.png,ok,future. Said Mr. Nkumbula last night:,196
a01-014x-03.png,ok,"""We want to discuss what to do if the",189
a01-014x-04.png,ok,British Government gives in to Sir Roy,187
a01-014x-05.png,ok,and the talks fall through. There are bound,193
a01-014x-06.png,ok,"to be demonstrations."" Yesterday Sir Roy's",194
a01-014x-07.png,ok,"chief aide, Mr. Julius Greenfield, telephoned",188
a01-014x-08.png,ok,his chief a report on his talks with Mr.,184
a01-014x-09.png,ok,Macmillan at Chequers.,190
a01-020-00.png,ok,Mr. Macleod went on with the conference at,176
a01-020-01.png,ok,Lancaster House despite the crisis which had,176
a01-020-02.png,ok,blown up. He has now revealed his full plans,176
a01-020-03.png,ok,to the Africans and Liberals attending. These,176
a01-020-04.png,ok,plans do not give the Africans the overall,176
a01-020-05.png,ok,majority they are seeking. African delegates,176
a01-020-06.png,ok,are studying them today. The conference,176
a01-020-07.png,ok,will meet to discuss the function of a,176
a01-020-08.png,ok,proposed House of Chiefs.,176
a01-020u-00.png,ok,Mr. Macleod went on with the conference,169
a01-020u-01.png,ok,at Lancaster House despite the crisis,171
a01-020u-02.png,ok,which had blown up. He has now revealed,169
a01-020u-03.png,ok,his full plans to the Africans and Liberals,169
a01-020u-04.png,ok,attending. These plans do not give the,169
a01-020u-05.png,ok,Africans the overall majority they are,169
a01-020u-06.png,ok,seeking. African delegates are studying,170
a01-020u-07.png,ok,them today. The conference will meet,170
a01-020u-08.png,ok,to discuss the function of a proposed,167
a01-020u-09.png,ok,House of Chiefs.,168
a01-020x-00.png,ok,Mr. Macleod went on with the conference at,151
a01-020x-01.png,ok,Lancaster House despite the crisis which had,153
a01-020x-02.png,ok,blown up. He has now revealed his full plans,157
a01-020x-03.png,ok,to the Africans and Liberals attending. These,152
a01-020x-04.png,ok,plans do not give the Africans the overall majo-,147
a01-020x-05.png,ok,rity they are seeking. African delegates are,155
a01-020x-06.png,ok,studying them today. The conference will meet,157
a01-020x-07.png,ok,to discuss the function of a proposed House,153
a01-020x-08.png,ok,of Chiefs.,152
a01-026-00.png,ok,"MR. IAIN MACLEOD, the Colonial Secretary, denied",182
a01-026-01.png,ok,in the Commons last night that there have been,182
